company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Skjomen G3,,,,NO,100,Hydro,Reservoir,Zone: NO-4,,,,,Nordpool,50WP00000000633X,68.182858,17.349864
,Solbergfoss 2 G1,,,,NO,100,Hydro,Reservoir,Zone: NO-1,,,,,Nordpool,50WP00000000651V,59.63611,11.112157
,Solhom G1,,,,NO,100,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000653R,58.768486,7.020037
,Solhom G2,,,,NO,100,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000653R,58.768486,7.020037
,Songa G1,,,,NO,136,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000654P,59.777981,7.725929
,Sønnå G1,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000718P,59.644269,6.368738
,Sønnå G2,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000718P,59.644269,6.368738
,Sundsbarm G1,,,,NO,110,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000687A,59.497689,8.634745
,Svartisen G1,,,,NO,250,Hydro,Reservoir,Zone: NO-4,,,,,Nordpool,50WP00000000695B,66.728748,13.914312
,Svartisen G2,,,,NO,350,Hydro,Reservoir,Zone: NO-4,,,,,Nordpool,50WP00000000695B,66.728748,13.914312
,Sy-Sima G1,,,,NO,310,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP000000008791,60.497875,7.144529
,Sy-Sima G2,,,,NO,310,Hydro,Reservoir,Zone: NO-5,,,,,Nordpool,50WP000000008791,60.497875,7.144529
,Tjodan G1,,,,NO,113,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000741U,59.05214,6.6524
,Tokke G1,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000745M,59.444742,8.037991
,Tokke G2,,,,NO,103,Hydro,Reservoir,Zone: NO-2,,,,,Nordpool,50WP00000000745M,59.444742,8.037991
