company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
,Häusling,,,,AT,360.0,Hydro,Reservoir,,,,1988.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-TZH-KW-----7,47.146432,11.967219
,Hieflau,,,,AT,63.0,Hydro,Reservoir,,,,2009.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.605957,14.742821
,Hieflau-Erzbach,,,,AT,1.0,Hydro,Run-of-river,,,,1956.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.6056,14.74317
,Hirzbach,,,,AT,1.0,Hydro,Run-of-river,,,,2012.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
,Jettenbach I,,,,AT,1.0,Hydro,Run-of-river,,,,1924.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.178615,12.383643
,Jettenbach II,,,,AT,5.0,Hydro,Run-of-river,,,,2004.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.177714,12.381857
,Jochenstein,,,,AT,132.0,Hydro,Run-of-river,,,,1956.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,48.518812,13.707428
,Kalsdorf,,,,AT,19.0,Hydro,Run-of-river,,,,2013.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.944097,15.50363
,Kaprun Hauptstufe,,,,AT,240.0,Hydro,Reservoir,,,,1953.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-TKH-KW-----O,47.259591,12.738799
,Kaprun Limberg II,,,,AT,480.0,Hydro,Reservoir,,,,2011.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.198206,12.720008
,Kaprun Oberstufe,,,,AT,113.0,Hydro,Reservoir,,,,1956.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-TKO-KW-----S,47.197317,12.719513
,Kellerberg,,,,AT,25.0,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.669879,13.725482
,Klammsee,,,,AT,1.0,Hydro,Run-of-river,,,,1947.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.259384,12.738691
,Klaus,,,,AT,20.0,Hydro,Run-of-river,,,,1975.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.82845,14.157217
,Kolbnitz Trinkwasser,,,,AT,1.0,Hydro,Run-of-river,,,,2005.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.880169,13.31654
,Kreuzbergmaut,,,,AT,18.0,Hydro,Run-of-river,,,,1996.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.441364,13.210862
,Kreuzeck Tagesspeicher,,,,AT,45.0,Hydro,Reservoir,,,,1960.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.872977,13.311516
,Krippau,,,,AT,30.0,Hydro,Run-of-river,,,,1965.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.703511,14.689298
,Landl,,,,AT,25.0,Hydro,Run-of-river,,,,1967.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.651131,14.750286
,Laufnitzdorf,,,,AT,18.0,Hydro,Run-of-river,,,,1931.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.292402,15.323134
,Lavamünd,,,,AT,28.0,Hydro,Run-of-river,,,,1949.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.643429,14.937028
,Lebring,,,,AT,20.0,Hydro,Run-of-river,,,,1988.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.857847,15.5373
,Leoben,,,,AT,10.0,Hydro,Run-of-river,,,,2005.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.388476,15.095161
,Limberg III,,,,AT,480.0,Hydro,Reservoir,,,,,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.198085,12.720278
,Losenstein,,,,AT,39.0,Hydro,Run-of-river,,,,1962.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.923315,14.433857
,Malta Hauptstufe,,,,AT,730.0,Hydro,Reservoir,,,,1979.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-DMH-KW-----9,46.870564,13.329601
,Malta Oberstufe,,,,AT,120.0,Hydro,Reservoir,,,,1979.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-DMO-KW-----D,47.065944,13.353102
,Malta Unterstufe,,,,AT,41.0,Hydro,Run-of-river,,,,1979.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,46.8332,13.360071
,Mandling,,,,AT,6.0,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,47.399874,13.581941
,Mayrhofen,,,,AT,355.0,Hydro,Reservoir,,,,1977.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,14W-TZMA-KW----N,47.158171,11.850272
