Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1288;Gjøv;Kraftverk;STEIN HELGE LASSEMO;991509208;Vestfold og Telemark;38;Fyresdal;23;2006-11-16;2006-11-16;0,095;0,7;;;;2;019.CF;
1440;Glesåa;Kraftverk;NORDRE LØSSET AS;989176021;Innlandet;34;Åmot;22;2009-01-22;2009-01-22;2,1;6,7;204;1,2;0,486;1;002.JD1;
1025;Glisja;Kraftverk;;;Trøndelag;50;Midtre Gauldal;27;2000-01-01;2000-01-01;0,075;0,3;;;;3;122.BC0;
112;Glomfjord;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;1920-06-30;1920-06-30;20;94,8466;463,5;6;0,926;4;160.A1;
957;Glomnes;Kraftverk;GLOMNES KRAFT AS;982669073;Vestland;46;Stryn;51;2001-01-01;2001-01-01;0,349;1,8;;;;3;088.B2Z;
1483;Glutra;Kraftverk;GLUTRA KRAFT AS;991689400;Møre og Romsdal;15;Rauma;39;2009-08-03;2009-08-03;0,85;3;34;2,8;;3;103.4AB;
1840;Godal;Kraftverk;LØVENSKIOLD-FOSSUM KRAFT AS;994200682;Vestfold og Telemark;38;Skien;07;2015-12-03;2015-12-03;0,52;1,5;110,2;0,6;0,24;2;016.ADAZ;
1872;Gosland;Kraftverk;GOSLAND KRAFT AS;915155871;Vestland;46;Voss;21;2016-05-13;2016-05-13;4,04;10,9;325,9;1,43;0,785;5;062.E11;
1781;Govddesåga;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Beiarn;39;2016-07-07;2016-07-07;26,8;58;220,5;14;0,532;4;161.ABB;
113;Grana;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Rennebu;22;1982-04-01;1982-04-01;75;331,62;455;19,01;1,095;3;121.BA0;
1885;Grasbotntjørni;Pumpe;STATKRAFT ENERGI AS;987059729;Vestland;46;Ulvik;20;2016-10-25;2016-10-25;-0,3;0;51;0,31;;5;051.2AAA;
978;Grasdalen;Kraftverk;KRAFTKAMERATANE AS;980392775;Vestland;46;Samnanger;23;2000-01-01;2006-12-01;0,642;2,34;86;0,92;0,194;5;055.53;
1520;Gravbrøtfoss;Kraftverk;GRAVBRØTFOSS KRAFT AS;991089330;Trøndelag;50;Snåase %u2013 Snåsa;41;2009-06-05;2009-06-05;2,1;10,2;59;4,3;0,136;3;128.F0;
114;Gravfoss I;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Viken;30;Modum;47;1931-10-01;1931-10-01;18,6;35,0032;19,7;116;0,044;1;012.D1;
756;Gravfoss II;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Viken;30;Modum;47;1996-05-10;1996-05-10;30,2;179,4176;20;176;0,048;1;012.D1;
1362;Gravvold;Kraftverk;GRAVVOLD MIKROKRAFT DA;989747371;Møre og Romsdal;15;Surnadal;66;2007-11-21;2007-11-21;0,095;0,46;150;0,08;;3;112.3B0;
115;Gresslifoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;1966-01-01;1966-01-01;25;105,4002;33;100,63;0,068;3;123.D81;
1643;Grimo;Kraftverk;GRIMOKRAFT AS;992185228;Vestland;46;Ullensvang;18;2011-03-21;2011-03-21;0,99;3,6;362,6;0,314;0,876;5;048.1;
1139;Grislefoss;Kraftverk;SMÅKRAFT AS;984616155;Agder;42;Lindesnes;05;2001-01-01;2001-01-01;0,72;2,638;;;;2;023.A2A;
945;Grovane;Kraftverk;GROVANE KRAFTVERK AS;979206968;Vestland;46;Sunnfjord;47;1998-01-01;1998-01-01;0,5;2,1;;;;3;084.E5;
1359;Grove;Kraftverk;VISTEKLEIVEN DA;913384407;Innlandet;34;Vågå;35;2006-07-27;2006-07-27;0,08;0,1;;;;3;002.DHB2AZ;
1835;Grunnevatn;Kraftverk;SFE PRODUKSJON AS;984882106;Vestland;46;Askvoll;45;2016-04-08;2016-04-08;1,13;3,5;85,7;1,63;0,193;3;084.5DB;
847;Grunnåi;Kraftverk;GRUNNÅI KRAFTVERK AS;977023998;Vestfold og Telemark;38;Seljord;20;2006-01-28;2006-01-28;25,32;65;389;7,5;0,938;2;016.CC3Z;
1479;Gryta;Kraftverk;GRYTA KRAFT AS;988673226;Trøndelag;50;Rindal;61;2009-04-28;2009-04-28;1,49;4,6;223;0,8;0,517;3;112.C2;
1669;Grytdalen;Kraftverk;SVORKA PRODUKSJON AS;973058347;Trøndelag;50;Heim;55;2012-03-02;2012-03-02;1,3;5,47;;;;3;113.41B;
1635;Gryte I;Kraftverk;GRYTE KRAFT AS;988119342;Rogaland;11;Suldal;34;2006-12-19;2006-12-19;0,956;3,8;339;0,35;0,759;2;037.6B;
1920;Gryte II;Kraftverk;GRYTE KRAFT AS;988119342;Rogaland;11;Suldal;34;2018-02-15;2018-02-15;0,5;2,4;182,5;0,32;0,434;2;037.6b;
1859;Grytefoss;Kraftverk;MYKLEBY MASKIN AS;950311916;Viken;30;Lier;49;1907-01-01;1907-01-01;0,86;3,5;64;1,48;0,161;1;011.0;
1945;Grytendal;Kraftverk;GRYTENDAL KRAFTVERK AS;918317686;Nordland;18;Bindal;11;2018-11-27;2018-11-27;6,35;21,3;165,2;4,5;0,392;4;144.61AA0;
830;Grytfossen;Kraftverk;SMÅKRAFT AS;984616155;Innlandet;34;Nordre Land;48;2005-04-07;2005-04-07;1,125;3,3;52;2,8;0,111;1;012.EDAAZ;
1867;Grytneselva;Kraftverk;LANGFJORDKRAFT AS;896921762;Møre og Romsdal;15;Molde;06;2016-03-17;2016-03-17;5,9;14,1;570,5;1,19;1,377;3;104.310;
1248;Gryto;Kraftverk;GRYTO KRAFT AS;986774815;Vestland;46;Kvam;22;2006-08-21;2006-08-21;3,5;12;350;1,39;0,699;5;052.51Z;
116;Grytten;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Rauma;39;1975-03-13;1975-03-13;143,5;680,5938;953,4;17,7;2,252;3;103.A20;
907;Grytten;Kraftverk;GRYTTEN ARILD;969834278;Vestland;46;Askvoll;45;2000-01-01;2000-01-01;0,07;0,16;;;;3;084.4;
117;Grytåga;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Vefsn;24;1963-10-11;1963-10-11;48;256,4047;198;30,29;0,439;4;149.5Z;
1458;Grytåga Småkraftverk;Kraftverk;GRYTÅGA SETTEFISK AS;978647103;Nordland;18;Vefsn;24;2008-01-01;2008-01-01;1,3;9;189,3;0,925;0,39;4;149.5A;
1704;Grytåi;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Nissedal;22;2012-06-25;2012-06-25;0,856;2,45;117,42;0,87;0,273;2;019.F2D1;
1707;Grytåne;Kraftverk;RUDLENDE OLAV;969416360;Agder;42;Hægebostad;26;2017-12-31;2017-12-31;0,012;0,07;35;0,055;0,061;2;024.D1B;
767;Grøa;Kraftverk;NEAS AS;960684737;Møre og Romsdal;15;Sunndal;63;1999-11-24;1999-11-24;34,7;97,8411;353;11,5;0,838;3;109.AZ;
1052;Grødem;Kraftverk;J E EKORNES AS;980388271;Rogaland;11;Strand;30;2001-01-01;2001-01-01;0,015;0,06;;;;2;033.12;
118;Grødemfoss;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Eigersund;01;1939-10-03;1939-10-03;3,08;16,3847;62;6,5;0,141;2;027.1B;
1055;Grøndal;Kraftverk;;;Rogaland;11;Sandnes;08;1999-01-01;1999-01-01;0,022;0,1;;;;2;030.42Z;
1482;Grøndalsvatn;Pumpe;BKK PRODUKSJON AS;876944642;Vestland;46;Voss;21;1975-01-01;1975-01-01;-1,36;0;0;4;-0,094;5;063.D2;
1215;Grøneng;Kraftverk;GRØNENG KRAFTVERK AS;987281995;Vestland;46;Sunnfjord;47;2006-01-23;2006-01-23;0,95;5;;;;3;083.F;
1148;Grønhaug;Kraftverk;GRØNHAUG KRAFTVERK A/S;881066882;Vestland;46;Modalen;29;2000-01-01;2000-01-01;1;5,7;;;;5;064.2;
900;Grønhovdelva;Kraftverk;ANDERS BJØRNSRUD;981187725;Viken;30;Sigdal;45;2004-01-01;2004-01-01;0,065;0,5;;;;1;012.BD2Z;
1825;Grønlielva;Kraftverk;GRØNLIELVA KRAFTVERK AS;991936505;Troms og Finnmark Romsa ja Finnmárku;54;Salangen;17;2015-09-28;2015-09-28;2,4;7,1;169,02;1,73;0,385;4;191.4B;
119;Grønnedal;Kraftverk;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Molde;06;1947-01-01;1947-01-01;1,76;6,66;60;3,2;0,153;3;105.4A6;
1995;Grønningselva;Kraftverk;MOKRAFT AS;991509003;Trøndelag;50;Levanger;37;2019-12-19;2019-12-19;0,95;2,77;45;2,6;0,101;3;125.4F2;
120;Grønsdal;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Samnanger;23;1948-12-12;1948-12-12;36;154,5392;165;22;0,455;5;055.C1;
121;Grønvollfoss;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Notodden;08;1933-01-01;1933-01-01;33;175,4352;22,6;160;0,057;2;016.F51;
1935;Grøslandselva;Kraftverk;SMÅKRAFT GREEN BOND 1 AS;921075758;Viken;30;Flå;39;2018-06-14;2018-06-14;5,02;9,9;203,2;3;0,465;5;012.CC4B;
882;Grøtte;Kraftverk;GRØTTE KRAFTVERK Thea Mørk;986116451;Viken;30;Lier;49;2004-01-01;2004-01-01;0,038;0,06;;;;1;011.A0;
1651;Grøvla;Kraftverk;GRØVLA KRAFT AS;995577496;Vestland;46;Sunnfjord;47;2011-11-23;2011-11-23;2,433;7;339;0,9;0,795;3;084.AZ;
1758;Gråklubben;Kraftverk;GRÅKLUBBEN KRAFTVERK AS;999315720;Vestland;46;Bjørnafjorden;24;2014-03-01;2014-03-01;1,089;3,5;319;0,3904;0,783;2;053.B;
122;Gråsjø;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;1970-06-10;1970-06-10;15;67,7764;55;26;0,16;3;112.BB;
942;Gunnar Jan Gjerland;Kraftverk;GUNNAR JAN GJERLAND;969411016;Vestland;46;Sunnfjord;47;1995-01-01;1995-01-01;0,182;0,8;;;;3;083.EAA;
123;Guolásjohka;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms og Finnmark Romsa ja Finnmárku;54;Gáivuotna-Kåfjord-Kaivuono;26;1971-01-21;1971-01-21;80;339,9556;719,09;13,3;1,671;4;206.A10;
1137;Gurebo;Kraftverk;GUREBO OLE GUSTAV;969572443;Agder;42;Grimstad;02;1998-01-01;1998-01-01;0,178;0,961;;;;2;019.AB1A;
1549;Gursli;Kraftverk;GURSLI MINIKRAFTVERK AS;992148098;Rogaland;11;Lund;12;2009-07-20;2009-07-20;0,215;1;;;;2;026.B22;
1445;Gyl;Kraftverk;GYL KRAFT AS;989776878;Møre og Romsdal;15;Tingvoll;60;2007-08-04;2007-08-04;1,38;5,8;318,6;0,55;;3;109.7Z;
1871;Gåseflå;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Agder;42;Vennesla;23;2016-06-14;2016-06-14;0,24;2,5;14,75;2;0,033;2;021.B2;
1072;Gåslonelva;Kraftverk;;;Trøndelag;50;Indre Fosen;54;2001-01-01;2001-01-01;0,56;2;;;;3;133.2C1;
1270;Gåsvasselva;Kraftverk;LIFJELLKRAFT AS;988573345;Nordland;18;Hemnes;32;2007-03-01;2007-03-01;0,9;4,1;99;0,6;0,208;4;155.C8;
1132;Haavard T, Lien Mikrokraftverk;Kraftverk;;;Agder;42;Birkenes;16;2002-01-01;2002-01-01;0,015;0,01;;;;2;020.B21;
124;Hafslund;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Sarpsborg;03;1899-01-01;1899-01-01;31,85;169,3568;20,5;200;0,043;1;002.A3;
1077;Hagaelva;Kraftverk;HAGAELVA ENERGI AS;885804942;Trøndelag;50;Heim;55;2005-08-15;2005-08-15;0,84;2,3;;;;3;119.2A;
125;Hakavik;Kraftverk;STATKRAFT ENERGI AS;987059729;Viken;30;Øvre Eiker;48;1922-01-01;1922-01-01;7;26,2;391,5;2,4;0,734;1;012.AB52;
1208;Hakkstabben;Kraftverk;ALTA KRAFTLAG SA;971029390;Troms og Finnmark Romsa ja Finnmárku;54;Alta;03;1994-01-01;1994-01-01;0,8;2;;;;4;215.4;
1701;Halle;Kraftverk;BRUNLANES HISTORIELAG;994516175;Vestfold og Telemark;38;Larvik;05;2006-01-01;2006-01-01;0,019;0,11;10;0,31;0,017;2;015.5A;
1954;Halne;Kraftverk;;;Vestland;46;Eidfjord;19;2007-01-01;2007-01-01;0,01;0,04;;;;5;015.NDB1;
1803;Halvdagsåa;Kraftverk;HALVDAGSÅA KRAFT AS;998884063;Trøndelag;50;Selbu;32;2014-11-05;2014-11-05;0,591;2,44;196,6;0,375;0,438;3;123.D4;
1311;Hammerbekken;Kraftverk;;;Trøndelag;50;Skaun;29;2005-01-01;2005-01-01;0,05;0,1;;;;3;122.21Z;
126;Hammeren;Kraftverk;E-CO ENERGI AS;976894677;Oslo;03;Oslo;01;1901-12-21;1901-12-21;4,7;23,4498;105;6,8;0,192;1;006.C2;
1790;Hammeren;Kraftverk;RANA KOMMUNE TEKNISKE TJENESTER;974791420;Nordland;18;Rana;33;2014-01-20;2014-01-20;0,132;0,262;;0,14;;4;156.AA;
127;Hammerfest;Kraftverk;HAMMERFEST ENERGI AS;986950281;Troms og Finnmark Romsa ja Finnmárku;54;Hammerfest;06;1947-01-01;1947-01-01;1,1;6,046;88;1,79;0,17;4;217.4A;
1490;Hammerstrand;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Skaun;29;1920-12-31;1920-12-31;0,72;2,2;175;0,7;;3;122.A1;
885;Hamrabø;Kraftverk;HAVREVOLL SVEINUNG;969503204;Rogaland;11;Suldal;34;1997-01-01;1997-01-01;0,07;0,5;;;;2;036.B4Z;
128;Hanefoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Agder;42;Birkenes;16;1961-01-01;1961-01-01;22;126,351;70;40;0,153;2;020.BA2;
1716;Hanestadnea;Kraftverk;ØVERGAARD ENERGI AS;997893905;Innlandet;34;Rendalen;24;2012-11-01;2012-11-01;2,465;8,4;90,6;3,25;0,211;1;002.M2A0;
617;Hansfoss;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Levanger;37;1988-07-22;1988-07-22;1,2999;7,903;48;3,1;0,115;3;126.6B0;
873;Harastølen I;Kraftverk;HARASTØLEN HOLDING AS;880932942;Vestland;46;Luster;44;2002-01-01;2002-01-01;0,099;0,8;;;;5;075.6A;
874;Harastølen II;Kraftverk;HARASTØLEN HOLDING AS;880932942;Vestland;46;Luster;44;2002-01-01;2002-01-01;0,099;0,8;;;;5;075.6A;
129;Hardeland H;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Etne;11;1950-11-26;1950-11-26;24;89,4214;418,6;7,5;0,889;2;041.AC30;
130;Hardeland K;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Vestland;46;Etne;11;1958-02-04;1958-02-04;12;46,2489;325;4,5;0,74;2;041.AC30;
131;Harpefossen;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Sør-Fron;38;1965-02-18;1965-02-18;108;448,8;34,62;400;0,075;1;002.DF72;
1585;Harstveitbekken;Kraftverk;HARSTVEITBEKKEN KRAFT AS;992756543;Agder;42;Åmli;17;2009-11-13;2009-11-13;1,8;5,5;240;1,1;;2;019.CAA;
132;Hasselelva;Kraftverk;RISSA KRAFTLAG SA;915420400;Trøndelag;50;Indre Fosen;54;1980-01-01;1980-01-01;1,1;4,0577;60;2,29;0,133;3;132.2AA0;
1523;Hatlemark;Kraftverk;SYKKYLVEN PRODUKTER John Kåre Aarsnes;874363812;Møre og Romsdal;15;Sykkylven;28;2009-10-20;2009-10-20;0,215;0,7;47;0,55;0,109;3;097.61Z;
1910;Hatlestad;Kraftverk;FJÆRLAND KRAFT AS;916498721;Vestland;46;Sogndal;40;2018-04-26;2018-04-26;4,49;12,1;626,35;0,85;1,467;5;078.32;
280;Hattebergsdalen;Kraftverk;KVINNHERAD ENERGI AS;966309202;Vestland;46;Kvinnherad;17;1954-01-01;1954-01-01;4,96;24,528;155,5;3,63;0,38;2;045.4B;
1588;Haugaelva;Kraftverk;FORSØGET HAUGAELVA SMÅKRAFTVERK AS;992701110;Vestland;46;Bjørnafjorden;24;2010-03-22;2010-03-22;2;7;206;;;2;053.8;
1944;Haugafossen;Kraftverk;HARDANGER ENERGI AS;983502601;Vestland;46;Ullensvang;18;2018-09-12;2018-09-12;5,43;15;42;14,8;0,102;5;047.2A0;
1562;Hauge;Kraftverk;HAUGE MINIKRAFTVERK AS;992455209;Vestland;46;Gulen;35;2010-02-24;2010-02-24;0,48;1,82;67;0,92;0,145;5;068.620;
133;Haugfoss;Kraftverk;MODUM KRAFTPRODUKSJON KF;971030674;Viken;30;Modum;47;1938-06-06;1938-06-06;3,6;16,5095;37;12;0,083;1;012.BA2;
1094;Hauggard;Kraftverk;SMÅKRAFT AS;984616155;Viken;30;Rakkestad;16;1985-01-01;1985-01-01;0,5;1;;;;1;002.AB0;
1771;Haugsland;Kraftverk;;;Rogaland;11;Suldal;34;2012-01-01;2012-01-01;0,022;0,14;;;;2;035.7B2;
1699;Haukali;Kraftverk;SKRUDSARKRAFT AS;980023745;Rogaland;11;Sandnes;08;2001-01-01;2001-01-01;1,65;6;331;0,65;0,705;2;031.1B;
134;Haukeli;Kraftverk;STATKRAFT ENERGI AS;987059729;Vestfold og Telemark;38;Vinje;25;1957-01-01;1957-01-01;4,9;38;268;2,14;0,636;2;016.BED2A;
135;Haukland;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Lund;12;1949-08-06;1949-08-06;4,9;19,8;252,5;2,2;0,619;2;026.BA12;
610;Haukrei;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Fyresdal;23;1992-12-15;1992-12-15;16;43,9553;102,5;17,98;0,246;2;019.DE5;
614;Haukvik;Kraftverk;HAUKVIK KRAFT AS;880397532;Trøndelag;50;Heim;55;1987-01-01;1987-01-01;2,6;10,3471;300;1;0,722;3;113.AZ;
1923;Hausken;Kraftverk;AARAM GARD VENDEL HAUSKEN;983239935;Møre og Romsdal;15;Vanylven;11;2009-01-01;2009-01-01;0,008;0,04;;;;3;093.110;
1066;Hauskje;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hjelmeland;33;1990-04-02;1990-04-02;0,76;3,5;;;;2;035.2Z;
1489;Havdal;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Lierne;42;2009-11-24;2009-11-24;2,3;10;51,5;5;0,127;4;307.3B6A1;
1717;Havrevoll;Kraftverk;KOLBEIN HAVREVOLL;984694105;Rogaland;11;Suldal;34;2010-04-01;2010-04-01;0,065;0,45;260;0,03;;2;036.B4Z;
1971;Heggemselva;Kraftverk;HEGGEMSELVA MIKROKRAFTVERK AS;921251742;Møre og Romsdal;15;Surnadal;66;2019-04-18;2019-04-18;0,075;0,3;66,5;0,14;0,149;3;112.420;
136;Heggmoen;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Bodø;04;1981-10-17;1981-10-17;10;52,2477;116,69;9,98;0,277;4;165.1B;
1796;Heggtveit;Kraftverk;SKRÆI & SKREDE KRAFT AS;913173309;Vestfold og Telemark;38;Fyresdal;23;2015-12-16;2015-12-16;1,66;4,5;335;0,59;0,782;2;019.H20;
1837;Hegsetdammen;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Tydal;33;2015-05-01;2015-05-01;0,28;0,9;29,4;1,2;0,065;3;123.D51;
137;Hegsetfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Selbu;32;1962-01-01;1962-01-01;32;25,3609;72;64,87;0,136;3;123.D22;
931;Heidelva;Kraftverk;HEIDELVA KRAFTVERK AS;979391188;Møre og Romsdal;15;Volda;77;1998-09-15;1998-09-15;0,5;2,5;220;0,4;0,347;3;094.42Z;
1884;Heieren;Kraftverk;SKJÆRDALEN EIENDOM AS;915956858;Viken;30;Ringerike;07;1981-06-30;1981-06-30;0,32;1,7;58;0,76;0,117;1;012.D8A0;
138;Heierenfossen;Kraftverk;BRULAND ENERGI AS;983076769;Viken;30;Ringerike;07;1981-01-01;1981-01-01;0,6;4,5153;9,7;9;0,018;1;012.DA0;
1662;Heimerdalen;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vestvågøy;60;2009-12-11;2009-12-11;0,25;1;206;0,15;0,463;4;180.54Z;
1405;Heimseta;Kraftverk;HEIMSETA KRAFT AS;990967229;Vestland;46;Gloppen;50;2008-05-19;2008-05-19;1;5;;;;3;085.G;
1438;Heina;Kraftverk;HEINA KRAFT AS;989469282;Møre og Romsdal;15;Molde;06;2008-11-14;2008-11-14;2,8;8;;;;3;104.32A;
1614;Heiåi;Kraftverk;VRÅDAL KRAFT AS;985780595;Vestfold og Telemark;38;Kviteseid;21;2008-09-03;2008-09-03;0,4;1;;;;2;019.G4;
1670;Heiåi;Kraftverk;HEIKRAFT AS;989243012;Vestfold og Telemark;38;Seljord;20;2012-12-12;2012-12-12;2,4;5;245;1,2;0,556;2;016.CD3A;
751;Hekni;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Agder;42;Bygland;20;1995-11-01;1995-11-01;56;249,55;38,5;170;0,092;2;021.E12;
1135;Heldøla;Kraftverk;;;Agder;42;Froland;14;2004-01-01;2004-01-01;0,31;1,34;;;;2;019.C3;
813;Helganes;Kraftverk;HELGANES KRAFTVERK Tore Eide;937084129;Rogaland;11;Suldal;34;2003-01-01;2003-01-01;3,47;9,243;208;1,8;0,432;2;036.B11;
1921;Helgheim;Kraftverk;NYDALSELVA KRAFT AS;893040412;Vestland;46;Sunnfjord;47;2018-05-07;2018-05-07;2,7;7,4;241,7;1,3;0,469;3;084.E42;
927;Helgøy;Kraftverk;HELGØY ENERGI AS;977309727;Møre og Romsdal;15;Vanylven;11;1997-01-15;1997-01-15;0,4;1,5;;;;3;092.52;
1962;Helgåa;Kraftverk;RØFSDALSKRAFT AS;920926819;Møre og Romsdal;15;Vanylven;11;2019-11-19;2019-11-19;2,08;6,6;376,51;0,65;0,888;3;093.2C;
584;Hellandsfoss;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Modalen;29;1992-06-01;1992-06-01;31,5;169,2036;72,19;50;0,175;5;064.A0;
770;Hellandsfossen;Kraftverk;MODALEN KRAFTLAG SA;877051412;Vestland;46;Modalen;29;1977-07-01;1977-07-01;2,5;8,2037;31;11;0,048;5;064.A;
1369;Helle;Kraftverk;HELLE KRAFTVERK DA;989264915;Agder;42;Lyngdal;25;2007-01-01;2007-01-01;1,3;3;107;;;2;023.B;
877;Helle Bruk;Kraftverk;HELLE BRUK AS;913403010;Vestfold og Telemark;38;Kragerø;14;1945-01-01;1945-01-01;0,6;1,5;;;;2;017.22A;
159;Hellefoss;Kraftverk;HELLEFOSS KRAFT AS;912756734;Viken;30;Øvre Eiker;48;1953-01-01;1953-01-01;11;81,22;5,3;240;0,0127;1;012.B22;
140;Helleren;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms og Finnmark Romsa ja Finnmárku;54;Tjeldsund;12;1958-11-03;1958-11-03;2,4;9,6862;20;15;0,044;4;189.A;
949;Hellevang;Kraftverk;;;Vestland;46;Sunnfjord;47;2003-01-01;2003-01-01;0,176;0,3;;;;3;084.52Z;
1070;Helveteskraft;Kraftverk;SÆTER BJØRN;969087251;Viken;30;Kongsberg;06;2005-01-01;2005-01-01;0,03;0,09;;;;1;015.C7;
141;Hemsil I;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Hemsedal;42;1960-01-01;1960-01-01;70;241,0185;540;16;1,215;5;012.CDB20;
142;Hemsil II;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Gol;41;1960-01-01;1960-01-01;98;522,8218;370;31;0,878;5;012.CD52;
143;Hensfoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Viken;30;Ringerike;07;1946-01-01;1946-01-01;16,7;106,5234;24;87,52;0,052;1;012.F24;
1439;Herad;Kraftverk;HERAD KRAFT DA;990310165;Viken;30;Gol;41;2008-01-03;2008-01-03;0,085;0,68;;;;5;012.CD3Z;
1826;Herje;Kraftverk;RAUMA ENERGI AS;970974253;Møre og Romsdal;15;Rauma;39;2015-05-28;2015-05-28;4,4;13,8;363,4;1,42;0,861;3;104.11A;
1692;Herjåa;Kraftverk;HERJÅA KRAFT AS;996068935;Trøndelag;50;Midtre Gauldal;27;2012-07-17;2012-07-17;0,328;1,5;53;0,725;0,118;3;122.E1Z;
144;Herlandsfoss;Kraftverk;BKK PRODUKSJON AS;876944642;Vestland;46;Osterøy;30;1919-01-01;1995-10-14;13,8;64,1947;136;12;0,319;5;060.5A1;
145;Herva;Pumpekraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Vestland;46;Luster;44;1962-01-01;1962-01-01;33;107,4864;257;16,3;0,561;5;075.CC12;
1807;Hesjeberg;Kraftverk;NORDIC POWER AS;914341183;Troms og Finnmark Romsa ja Finnmárku;54;Gratangen;14;2016-04-15;2016-04-15;6,14;14;254,6;2,69;0,634;4;190.4;
841;Hestdal;Kraftverk;HESTDAL E-VERK AS;884198992;Trøndelag;50;Indre Fosen;54;2005-01-01;2005-01-01;1,1;4,8;120;1,1;0,278;3;131.7Z;
1881;Hestenes;Kraftverk;HESTENES KRAFT AS;999161723;Vestland;46;Gloppen;50;2016-07-06;2016-07-06;1,88;6,3;292;0,78;0,67;3;086.96;
146;Hetland;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hå;19;1915-01-01;1983-01-03;1,48;6,48;55,3;3;0,137;2;027.6B;
1389;Hetland;Kraftverk;HETLAND KRAFT AS;992327138;Rogaland;11;Vindafjord;60;2008-09-24;2008-09-24;0,275;1;142;0,27;0,283;2;041.32Z;
1486;Hindbergelva;Kraftverk;SØRSIDA KRAFT AS;990317135;Trøndelag;50;Inderøy;53;2009-01-09;2009-01-09;0,53;1,8;121;0,56;0,263;3;130.4Z;
1343;Hisvatn;Kraftverk;HISVATN KRAFTLAG AS;985386706;Agder;42;Kvinesdal;27;2007-01-22;2007-01-22;3,6;14;221;1,8;0,54;2;025.C20;
147;Hjartdøla;Kraftverk;SKAGERAK KRAFT AS;979563531;Vestfold og Telemark;38;Hjartdal;19;1958-10-17;1958-10-17;120;425,2527;575;24,6;1,355;2;016.EC1;
1357;Hjelle;Kraftverk;HJELLE KRAFTVERK AS;989826611;Vestland;46;Gloppen;50;2008-05-15;2008-05-15;2,85;11,4;19;16,6;0,048;3;087.D3;
1255;Hjelledøla;Kraftverk;HJELLEDALEN KRAFTLAG AS;988088994;Vestland;46;Stryn;51;2006-05-12;2006-05-12;1,1;6,8;67;2;0,153;3;088.C21;
735;Hjelmeland;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hjelmeland;33;1993-10-01;1993-10-01;6;21,4342;145;4,59;0,349;2;035.2Z;
