Clave de Registro;Nombre de la Unidad de Producción;Estado;Dirección de la Unidad de Producción;Municipio de la Unidad de Producción;Provincia de la Unidad de Producción;Nombre del Titular de la Unidad de Producción;Dirección del Titular;Municipio del Titual;CPostal del Titular;Provincia del Titular;Participación, en %, del Titular en la Unidad de Producción;Nombre del 2º Propietario de la Unidad de Producción;Participación, en %, del 2º Propietario de la Unidad de Producción;Nombre del 3º Propietario de la Unidad de Producción;Participación, en %, del 3º Propietario de la Unidad de Producción;Nombre del 4º Propietario de la Unidad de Producción;Participación, en %, del 4º Propietario de la Unidad de Producción;Fecha de la puesta en servicio de la Unidad de Producción;Tipo de Unidad de Producción;Tecnología de la Unidad de Producción;Potencia Instalada en MW;Potencia Bruta Total en MW;Potencia Neta Total en MW;Tensión de Conexión de la Unidad de Producción en el Punto de Conexión;Nombre de la Empresa Propietaria de la red en la que tiene punto de conexión la Unidad de Producción;Nudo del punto de conexión de la Unidad de Producción;Nombre de la Unidad de Gestión Hidráulica (si es de tipo Hidráulica);Nombre del Río (si es de tipo Hidráulica);Nombre del Combustible más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 2º más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 3º más usado (si la Unidad es del tipo Térmica Clásica);Subsección;Denominación Ciclo Combinado;Mínimo Técnico Declarado;Modo de Funcionamiento;A (th/h);B (th/h.MW);C (th/h.MW2);A (th);B (horas);D (€/arranque);O&MVDi (€/MWh );Anotación al Margen
RO1-0050;CT ESCOMBRERAS 4;DEFINITIVO;VALLE DE ESCOMBRERAS;Cartagena;MURCIA;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.06.1966 00:00;TÉRMICA CLÁSICA;CT FUELOLEO;289,000;289,000;267,830;400,000;IBERDROLA GENERACIÓN, S.A.;ST ESCOMBRERAS;;;FUELOLEO;;;1;;;;;;;;;;;
RO1-0051;CT ESCOMBRERAS 5;DEFINITIVO;VALLE DE ESCOMBRERAS;Cartagena;MURCIA;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.02.1968 00:00;TÉRMICA CLÁSICA;CT FUELOLEO;289,000;289,000;269,450;400,000;IBERDROLA GENERACIÓN, S.A.;ST ESCOMBRERAS;;;FUELOLEO;;;1;;;;;;;;;;;
RO1-0053;CT GUARDO 1;DEFINITIVO;34880 GUARDO (PALENCIA);Velilla del Río Carrión;PALENCIA;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1964 00:00;TÉRMICA CLÁSICA;CT CARBÓN;154,940;154,940;143,420;220,000;IBERDROLA GENERACIÓN, S.A.;ST GUARDO;;;HULLA+ANTRACITA;;;1;;;;;;;;;;;
RO1-0054;CT GUARDO 2;DEFINITIVO;34880 GUARDO (PALENCIA);Velilla del Río Carrión;PALENCIA;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1984 00:00;TÉRMICA CLÁSICA;CT CARBÓN;360,700;360,700;342,430;400,000;IBERDROLA GENERACIÓN, S.A.;ST GUARDO;;;HULLA+ANTRACITA;;;1;;;;;;;;;;;
RO1-0056;CT LADA 4;DEFINITIVO;SABINO ALONSO FUEYO, S/N.;Langreo;ASTURIAS;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.02.1981 00:00;TÉRMICA CLÁSICA;CT CARBÓN;;358,400;347,700;400,000;IBERDROLA GENERACIÓN, S.A.;ST LADA;;;HULLA+ANTRACITA;;;1;;;;;;;;;;;
RO1-0058;CT SANTURCE 1;DEFINITIVO;;Santurtzi;BIZKAIA;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1969 00:00;TÉRMICA CLÁSICA;CT FUEL-GAS;377,260;377,260;368,820;220,000;IBERDROLA GENERACIÓN, S.A.;ST SANTURCE;;;FUELOLEO;GAS NATURAL;;1;;;;;;;;;;;
RO1-0059;CT SANTURCE 2;DEFINITIVO;;Santurtzi;BIZKAIA;IBERDROLA GENERACIÓN TÉRMICA S.L.;PZ/ EUSKADI, 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1972 00:00;TÉRMICA CLÁSICA;CT FUEL-GAS;541,670;541,670;528,200;400,000;IBERDROLA GENERACIÓN, S.A.;ST SANTURCE;;;FUELOLEO;;;1;;;;;;;;;;;
RO1-0061;VANDELLÓS GR 2;DEFINITIVO;TARRAGONA;Vandellòs i l'Hospitalet de l'Infant;TARRAGONA;ENDESA GENERACIÓN S.A.;AVDA. DE LA BORBOLLA, Nº 5;Sevilla;41004;SEVILLA;72,00;IBERDROLA GENERACIÓN NUCLEAR, S.A.U.;28,00;;;;;17.08.1987 00:00;TERMONUCLEAR;CN PWR;1,087,100;1,087,140;1,045,310;400,000;REE;VANDELLOS;;;NUCLEAR;;;1;;;;;;;;;;;Titular de explotación según Real Decreto-ley 13/2014, de 3 de octubre, por el que se adoptan medidas urgentes en relación con el sistema gasista y la titularidad de centrales nucleares:Agrupación de Interés Económico Asociación Nuclear Ascó-Vandellós II (ANAV) 04/10/2014.
RO1-0062;ABARAN 1;DEFINITIVO;;Abarán;MURCIA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1931 00:00;HIDRÁULICA;FLUYENTE;0,350;0,350;;4,500;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH ABARAN;JUCAR;SEGURA;;;;1;;;;;;;;;;;
RO1-0063;ABARAN 2;DEFINITIVO;;Abarán;MURCIA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1931 00:00;HIDRÁULICA;FLUYENTE;0,460;0,460;;4,500;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH ABARAN;JUCAR;SEGURA;;;;1;;;;;;;;;;;
RO1-0064;ACECA 1, CH;DEFINITIVO;;Villaseca de la Sagra;TOLEDO;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;50,00;NATURGY ENERGY GROUP, S.A.;50,00;;;;;01.01.1913 00:00;HIDRÁULICA;FLUYENTE;0,120;0,120;;20,000;PARTICIPADAS - IBERDROLA DISTRIBUCION ELECTRICA;ST ACECA;TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0065;ACECA 2, CH;DEFINITIVO;;Villaseca de la Sagra;TOLEDO;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;50,00;NATURGY ENERGY GROUP, S.A.;50,00;;;;;01.01.1923 00:00;HIDRÁULICA;FLUYENTE;0,400;0,400;;20,000;PARTICIPADAS - IBERDROLA DISTRIBUCION ELECTRICA;ST ACECA;TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0066;ACECA 3, CH;DEFINITIVO;;Villaseca de la Sagra;TOLEDO;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;50,00;NATURGY ENERGY GROUP, S.A.;50,00;;;;;01.01.1948 00:00;HIDRÁULICA;FLUYENTE;0,280;0,280;;20,000;PARTICIPADAS - IBERDROLA DISTRIBUCION ELECTRICA;ST ACECA;TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0067;ACERA DE LA VEGA 1;DEFINITIVO;;Fresno del Río;PALENCIA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;20.03.1987 00:00;HIDRÁULICA;FLUYENTE;4,800;4,800;;46,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST ACERA DE LA VEGA;DUERO;CARRION;;;;1;;;;;;;;;;;
RO1-0068;ACERA DE LA VEGA 2;DEFINITIVO;;Fresno del Río;PALENCIA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;20.03.1987 00:00;HIDRÁULICA;FLUYENTE;4,800;4,800;;46,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST ACERA DE LA VEGA;DUERO;CARRION;;;;1;;;;;;;;;;;
RO1-0069;Nª Sª DEL AGAVANZAL 1;DEFINITIVO;;Calzadilla de Tera;ZAMORA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;23.02.1995 00:00;HIDRÁULICA;EMBALSE;11,460;11,460;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH Nª Sª DEL AGAVANZAL;DUERO;TERA;;;;1;;;;;;;;;;;
RO1-0070;Nª Sª DEL AGAVANZAL 2;DEFINITIVO;;Calzadilla de Tera;ZAMORA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;23.02.1995 00:00;HIDRÁULICA;EMBALSE;11,470;11,470;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH Nª Sª DEL AGAVANZAL;DUERO;TERA;;;;1;;;;;;;;;;;
RO1-0071;Nª Sª DEL AGAVANZAL 3;DEFINITIVO;;Calzadilla de Tera;ZAMORA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;17.03.1995 00:00;HIDRÁULICA;EMBALSE;1,530;1,530;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH Nª Sª DEL AGAVANZAL;DUERO;TERA;;;;1;;;;;;;;;;;
