Clave de Registro;Nombre de la Unidad de Producción;Estado;Dirección de la Unidad de Producción;Municipio de la Unidad de Producción;Provincia de la Unidad de Producción;Nombre del Titular de la Unidad de Producción;Dirección del Titular;Municipio del Titual;CPostal del Titular;Provincia del Titular;Participación, en %, del Titular en la Unidad de Producción;Nombre del 2º Propietario de la Unidad de Producción;Participación, en %, del 2º Propietario de la Unidad de Producción;Nombre del 3º Propietario de la Unidad de Producción;Participación, en %, del 3º Propietario de la Unidad de Producción;Nombre del 4º Propietario de la Unidad de Producción;Participación, en %, del 4º Propietario de la Unidad de Producción;Fecha de la puesta en servicio de la Unidad de Producción;Tipo de Unidad de Producción;Tecnología de la Unidad de Producción;Potencia Instalada en MW;Potencia Bruta Total en MW;Potencia Neta Total en MW;Tensión de Conexión de la Unidad de Producción en el Punto de Conexión;Nombre de la Empresa Propietaria de la red en la que tiene punto de conexión la Unidad de Producción;Nudo del punto de conexión de la Unidad de Producción;Nombre de la Unidad de Gestión Hidráulica (si es de tipo Hidráulica);Nombre del Río (si es de tipo Hidráulica);Nombre del Combustible más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 2º más usado (si la Unidad es de tipo Térmica Clásica);Nombre del Combustible 3º más usado (si la Unidad es del tipo Térmica Clásica);Subsección;Denominación Ciclo Combinado;Mínimo Técnico Declarado;Modo de Funcionamiento;A (th/h);B (th/h.MW);C (th/h.MW2);A (th);B (horas);D (€/arranque);O&MVDi (€/MWh );Anotación al Margen
RO1-0251;LUCAS DE URQUIJO 4;DEFINITIVO;;Enguídanos;CUENCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1945 00:00;HIDRÁULICA;EMBALSE;14,000;14,000;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST LUCAS DE URQUIJO;JUCAR;CABRIEL;;;;1;;;;;;;;;;;
RO1-0252;LUGAN 1;DEFINITIVO;;Vegaquemada;LEON;CONFEDERACION HIDROGRAFICA DEL DUERO;Muro, 5;Valladolid;47071;VALLADOLID;100,00;;;;;;;01.01.1931 00:00;HIDRÁULICA;FLUYENTE;0,560;0,570;0,560;46,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LUGAN;DUERO;PORMA;;;;1;;;;;;;;;;;
RO1-0253;LUGAN 2;DEFINITIVO;;Vegaquemada;LEON;CONFEDERACION HIDROGRAFICA DEL DUERO;Muro, 5;Valladolid;47071;VALLADOLID;100,00;;;;;;;01.01.1918 00:00;HIDRÁULICA;FLUYENTE;0,220;0,220;;46,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LUGAN;DUERO;PORMA;;;;1;;;;;;;;;;;
RO1-0254;MAÑERU 1;DEFINITIVO;;Mañeru;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1944 00:00;HIDRÁULICA;FLUYENTE;2,400;2,400;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH MAÑERU;EBRO;SALADO;;;;1;;;;;;;;;;;
RO1-0255;MAÑERU 2;DEFINITIVO;;Mañeru;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1945 00:00;HIDRÁULICA;FLUYENTE;2,400;2,400;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH MAÑERU;EBRO;SALADO;;;;1;;;;;;;;;;;
RO1-0256;MANISES 1;DEFINITIVO;;Manises;VALENCIA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1961 00:00;HIDRÁULICA;FLUYENTE;0,340;0,340;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MANISES;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0258;MANSILLA 1;DEFINITIVO;;Mansilla de la Sierra;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1969 00:00;HIDRÁULICA;FLUYENTE;2,880;2,750;2,690;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR MANSILLA;EBRO;NAJERILLA;;;;1;;;;;;;;;;;
RO1-0259;MANSILLA 2;DEFINITIVO;;Mansilla de la Sierra;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1969 00:00;HIDRÁULICA;FLUYENTE;2,880;2,640;2,600;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR MANSILLA;EBRO;NAJERILLA;;;;1;;;;;;;;;;;
RO1-0260;MENDARAZ 1;DEFINITIVO;;Errenteria;GIPUZKOA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1903 00:00;HIDRÁULICA;FLUYENTE;0,200;0,200;;30,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH MENDARAZ;EBRO;URUMEA;;;;1;;;;;;;;;;;
RO1-0261;MENDARAZ 2;DEFINITIVO;;Errenteria;GIPUZKOA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1903 00:00;HIDRÁULICA;FLUYENTE;0,320;0,320;;30,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH MENDARAZ;EBRO;URUMEA;;;;1;;;;;;;;;;;
RO1-0262;EL MENJU;DEFINITIVO;;Cieza;MURCIA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1921 00:00;HIDRÁULICA;FLUYENTE;0,240;0,240;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH EL MENJU;JUCAR;SEGURA;;;;1;;;;;;;;;;;
RO1-0265;LA MILAGROSA 3;DEFINITIVO;;Talavera de la Reina;TOLEDO;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1958 00:00;HIDRÁULICA;FLUYENTE;0,610;0,610;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR TALAVERA II;TAJO;TAJO;;;;1;;;;;;;;;;;
RO1-0266;MILLER 1;DEFINITIVO;;Santiago-Pontones;JAEN;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1957 00:00;HIDRÁULICA;EMBALSE;9,000;9,000;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MILLER;JUCAR;SEGURA/ZUMETA;;;;1;;;;;;;;;;;
RO1-0267;MILLER 2;DEFINITIVO;;Santiago-Pontones;JAEN;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1957 00:00;HIDRÁULICA;EMBALSE;9,000;9,000;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MILLER;JUCAR;SEGURA/ZUMETA;;;;1;;;;;;;;;;;
RO1-0268;MILLER 3;DEFINITIVO;;Santiago-Pontones;JAEN;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1960 00:00;HIDRÁULICA;EMBALSE;9,000;9,000;;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MILLER;JUCAR;SEGURA/ZUMETA;;;;1;;;;;;;;;;;
RO1-0269;CONTRERAS MIRASOL 1;DEFINITIVO;;Minglanilla;CUENCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1932 00:00;HIDRÁULICA;FLUYENTE;0,600;0,600;0,480;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST CONTRERAS;JUCAR;CABRIEL;;;;1;;;;;;;;;;;
RO1-0270;CONTRERAS MIRASOL 2;DEFINITIVO;;Minglanilla;CUENCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1932 00:00;HIDRÁULICA;FLUYENTE;0,600;0,600;0,510;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST CONTRERAS;JUCAR;CABRIEL;;;;1;;;;;;;;;;;
RO1-0271;MOLINO DE SANTIAGO;DEFINITIVO;C/ BAJADA A FÁBRICA S/N;Cuenca;CUENCA;HEREDEROS DE DÍAZ CORDOVÉS, S.A.;C/ALCALA,75;Madrid;28009;MADRID;100,00;;;;;;;14.01.1971 00:00;HIDRÁULICA;FLUYENTE;0,120;;;20,000;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;TRANSFORMADOR DE C.HIDRAULICA LÍNEA DE MEDIA TENSIÓN;ELÉCTRICA CONQUENSE, S.A.;JUCAR;;;;1;;;;;;;;;;;
RO1-0272;MONTEFURADO 1;DEFINITIVO;;Quiroga;LUGO;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1954 00:00;HIDRÁULICA;EMBALSE;12,800;12,800;14,710;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MONTEFURADO;SIL;BIBEY;;;;1;;;;;;;;;;;
RO1-0273;MONTEFURADO 2;DEFINITIVO;;Quiroga;LUGO;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1956 00:00;HIDRÁULICA;EMBALSE;12,800;12,800;15,010;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MONTEFURADO;SIL;BIBEY;;;;1;;;;;;;;;;;
RO1-0274;MONTEFURADO 3;DEFINITIVO;;Quiroga;LUGO;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1957 00:00;HIDRÁULICA;EMBALSE;12,800;12,800;14,570;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MONTEFURADO;SIL;BIBEY;;;;1;;;;;;;;;;;
RO1-0275;MORANCHEL 1;DEFINITIVO;;Albacete;ALBACETE;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1943 00:00;HIDRÁULICA;FLUYENTE;1,460;1,460;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MORANCHEL;JUCAR;JUCAR;;;;1;;;;;;;;;;;
RO1-0276;MORANCHEL 2;DEFINITIVO;;Albacete;ALBACETE;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1943 00:00;HIDRÁULICA;FLUYENTE;1,460;1,540;1,530;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST MORANCHEL;JUCAR;JUCAR;;;;1;;;;;;;;;;;
RO1-0277;NAJERILLA 1;DEFINITIVO;;Anguiano;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1985 00:00;HIDRÁULICA;FLUYENTE;1,210;1,210;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH NAJERILLA;EBRO;NAJERILLA;;;;1;;;;;;;;;;;
RO1-0278;NAJERILLA 2;DEFINITIVO;;Anguiano;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1985 00:00;HIDRÁULICA;FLUYENTE;1,210;1,210;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH NAJERILLA;EBRO;NAJERILLA;;;;1;;;;;;;;;;;
RO1-0279;LAS NORIAS 1;DEFINITIVO;;Logroño;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1960 00:00;HIDRÁULICA;FLUYENTE;0,960;0,960;0,900;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LAS NORIAS;EBRO;EBRO;;;;1;;;;;;;;;;;
RO1-0280;LAS NORIAS 2;DEFINITIVO;;Logroño;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1960 00:00;HIDRÁULICA;FLUYENTE;0,960;0,960;1,010;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LAS NORIAS;EBRO;EBRO;;;;1;;;;;;;;;;;
RO1-0281;OIZ 1;DEFINITIVO;;Goizueta;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1925 00:00;HIDRÁULICA;FLUYENTE;0,500;0,500;;30,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR OIZ;EBRO;LEURTZA;;;;1;;;;;;;;;;;
RO1-0282;OIZ 2;DEFINITIVO;;Goizueta;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1925 00:00;HIDRÁULICA;FLUYENTE;0,500;0,500;;30,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR OIZ;EBRO;LEURTZA;;;;1;;;;;;;;;;;
RO1-0283;OJER Y MARCOS;DEFINITIVO;;Aberin;NAVARRA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1987 00:00;HIDRÁULICA;FLUYENTE;0,350;0,350;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR ESTELLA;EBRO;EGA;;;;1;;;;;;;;;;;
RO1-0284;ONDA 1;DEFINITIVO;;Onda;CASTELLON;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1927 00:00;HIDRÁULICA;FLUYENTE;0,450;0,450;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR ONDA;JUCAR;MIJARES;;;;1;;;;;;;;;;;
RO1-0285;ONDA 2;DEFINITIVO;;Onda;CASTELLON;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1927 00:00;HIDRÁULICA;FLUYENTE;0,450;0,450;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR ONDA;JUCAR;MIJARES;;;;1;;;;;;;;;;;
RO1-0286;ORONOZ 1;DEFINITIVO;;Baztan;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1916 00:00;HIDRÁULICA;FLUYENTE;0,460;0,460;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH ORONOZ;EBRO;BIDASOA;;;;1;;;;;;;;;;;
RO1-0287;ORONOZ 2;DEFINITIVO;;Baztan;NAVARRA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1916 00:00;HIDRÁULICA;FLUYENTE;0,460;0,460;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH ORONOZ;EBRO;BIDASOA;;;;1;;;;;;;;;;;
RO1-0288;PANZARES 1;DEFINITIVO;;Viguera;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1987 00:00;HIDRÁULICA;FLUYENTE;1,300;1,300;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR PANZARES;EBRO;IREGUA;;;;1;;;;;;;;;;;
RO1-0289;PANZARES 2;DEFINITIVO;;Viguera;LA RIOJA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1958 00:00;HIDRÁULICA;FLUYENTE;1,120;1,120;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR PANZARES;EBRO;IREGUA;;;;1;;;;;;;;;;;
RO1-0290;LA PEA 1;DEFINITIVO;;Pedralba;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.04.1902 00:00;HIDRÁULICA;FLUYENTE;0,350;0,350;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LA PEA;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0291;LA PEA 2;DEFINITIVO;;Pedralba;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1902 00:00;HIDRÁULICA;FLUYENTE;0,360;0,360;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LA PEA;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0293;LA PEA 4;DEFINITIVO;;Pedralba;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1904 00:00;HIDRÁULICA;FLUYENTE;0,360;0,360;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR LA PEA;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0294;PEDRALBA 1;DEFINITIVO;;Pedralba;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1924 00:00;HIDRÁULICA;FLUYENTE;0,640;0,640;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST PEDRALBA;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0295;PEDRALBA 2;DEFINITIVO;;Pedralba;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1927 00:00;HIDRÁULICA;FLUYENTE;0,340;0,340;;20,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST PEDRALBA;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0296;PENADEGUI 1;DEFINITIVO;;Oiartzun;GIPUZKOA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1985 00:00;HIDRÁULICA;FLUYENTE;0,180;0,180;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH PENADEGUI;EBRO;OYARZUN;;;;1;;;;;;;;;;;
RO1-0297;PESQUERUELA 1;DEFINITIVO;;Simancas;VALLADOLID;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1983 00:00;HIDRÁULICA;FLUYENTE;0,930;0,780;0,740;46,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR PESQUERUELA;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0298;PESQUERUELA 2;DEFINITIVO;;Simancas;VALLADOLID;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1983 00:00;HIDRÁULICA;FLUYENTE;0,930;0,800;0,760;46,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR PESQUERUELA;DUERO;DUERO;;;;1;;;;;;;;;;;
RO1-0299;EL PICAZO 1;DEFINITIVO;;Picazo (El);CUENCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1954 00:00;HIDRÁULICA;EMBALSE;9,000;9,000;8,380;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST EL PICAZO;JUCAR;JUCAR;;;;1;;;;;;;;;;;
RO1-0300;EL PICAZO 2;DEFINITIVO;;Picazo (El);CUENCA;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1954 00:00;HIDRÁULICA;EMBALSE;9,000;9,000;8,990;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST EL PICAZO;JUCAR;JUCAR;;;;1;;;;;;;;;;;
RO1-0301;PICOAGA 1;DEFINITIVO;;Hernani;GIPUZKOA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1912 00:00;HIDRÁULICA;FLUYENTE;0,220;0,220;;30,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH PICOAGA;EBRO;URUMEA;;;;1;;;;;;;;;;;
RO1-0302;PICOAGA 2;DEFINITIVO;;Hernani;GIPUZKOA;IBERDROLA RENOVABLES, S.A.;C/. TOMAS REDONDO, Nº 1;Madrid;28033;MADRID;100,00;;;;;;;01.01.1912 00:00;HIDRÁULICA;FLUYENTE;0,220;0,220;;30,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH PICOAGA;EBRO;URUMEA;;;;1;;;;;;;;;;;
RO1-0303;PLAZAKOLA;DEFINITIVO;;Markina-Xemein;BIZKAIA;BARBO ENERGÍAS RENOVABLES, S.A.;C/. JON ARROSPIDE, Nº 20 Interior;Bilbao;48014;BIZKAIA;100,00;;;;;;;01.01.1984 00:00;HIDRÁULICA;FLUYENTE;0,210;0,210;;13,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;CH PLAZACOLA;EBRO;ARTIBAY;;;;1;;;;;;;;;;;
RO1-0304;PONTENOVO 1;DEFINITIVO;;Pobra de Trives (A);ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1952 00:00;HIDRÁULICA;FLUYENTE;12,800;12,800;12,710;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST PONTENOVO;SIL;NAVEA;;;;1;;;;;;;;;;;
RO1-0305;PONTENOVO 2;DEFINITIVO;;Pobra de Trives (A);ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1952 00:00;HIDRÁULICA;FLUYENTE;12,800;12,800;13,060;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST PONTENOVO;SIL;NAVEA;;;;1;;;;;;;;;;;
RO1-0306;PONTENOVO 3;DEFINITIVO;;Pobra de Trives (A);ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1953 00:00;HIDRÁULICA;FLUYENTE;6,500;6,500;6,070;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST PONTENOVO;SIL;NAVEA;;;;1;;;;;;;;;;;
RO1-0307;PONTENOVO 4;DEFINITIVO;;Pobra de Trives (A);ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.01.1954 00:00;HIDRÁULICA;FLUYENTE;6,500;6,500;6,240;132,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;ST PONTENOVO;SIL;NAVEA;;;;1;;;;;;;;;;;
RO1-0308;LAS PORTAS 1;DEFINITIVO;;Vilariño de Conso;ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;23.03.1986 00:00;HIDRÁULICA;FLUYENTE;0,480;0,400;0,380;20,000;IBERDROLA GENERACION;CH LAS PORTAS;SIL;CAMBA;;;;1;;;;;;;;;;;
RO1-0309;PORTLUX 1;DEFINITIVO;;Gestalgar;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1930 00:00;HIDRÁULICA;FLUYENTE;0,600;0,600;;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR PORTLUX;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0310;PORTLUX 2;DEFINITIVO;;Gestalgar;VALENCIA;IBERDROLA RENOVABLES ENERGIA, S.A.;C/ MENORCA, Nº 19, PLANTA 13;Valencia;46023;VALENCIA;100,00;;;;;;;01.01.1930 00:00;HIDRÁULICA;FLUYENTE;0,600;0,600;0,470;66,000;IBERDROLA GENERACION - IBERDROLA DISTRIBUCION ELECTRICA;STR PORTLUX;JUCAR;TURIA;;;;1;;;;;;;;;;;
RO1-0311;PUENTE BIBEY 1;DEFINITIVO;;Manzaneda;ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.04.1964 00:00;HIDRÁULICA;EMBALSE;71,000;71,000;79,300;220,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST PUENTE BIBEY;SIL;BIBEY;;;;1;;;;;;;;;;;
RO1-0312;PUENTE BIBEY 2;DEFINITIVO;;Manzaneda;ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.11.1964 00:00;HIDRÁULICA;EMBALSE;71,000;71,000;78,830;220,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST PUENTE BIBEY;SIL;BIBEY;;;;1;;;;;;;;;;;
RO1-0313;PUENTE BIBEY 3;DEFINITIVO;;Manzaneda;ORENSE;IBERDROLA GENERACIÓN, S.A.;Plaza Euskadi, nº 5;Bilbao;48009;BIZKAIA;100,00;;;;;;;01.04.1965 00:00;HIDRÁULICA;EMBALSE;71,000;71,000;78,050;220,000;IBERDROLA GENERACION - RED ELECTRICA DE ESPAÑA;ST PUENTE BIBEY;SIL;BIBEY;;;;1;;;;;;;;;;;
