ZE-Nr;ZE-Name;WKA-Name;WKA-Typ;ZE-Standort;ZE-Kanton;ZE-Status;Funktion: Turbinieren;Funktion: Pumpen;QTurbine [m3/sec];Inst. Turbinenleistung;"(""LTURBINE[MW]""/100)*""PROZ.ANTEILCH""";Max. Leistung ab Generator;"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""";Prod. ohne Umwälzbetrieb - W.;Prod. ohne Umwälzbetrieb - S.;Prod. ohne Umwälzbetrieb - J.;"(""PROD.OHNEUMWÄLZBETRIEB-J.""/100)*""PROZ.ANTEILCH""";QPumpe [m3/sec];Inst. Pumpenleistung;Leistungsaufnahme Motoren;Bedarf ohne Umwälzb. - W.;Bedarf ohne Umwälzb. - S.;Bedarf ohne Umwälzb. - J.;ZE-Erste-Inbetriebnahme;ZE-Letzte-Inbetriebnahme;ZE-Kote;Proz. Anteil CH;Kantonsanteil: Kanton Name (1);Kantonsanteil (1);Kantonsanteil: Kanton Name (2);Kantonsanteil (2);Kantonsanteil: Kanton Name (3);Kantonsanteil (3);Genutzte Gewässer - Name (1);Genutzte Gewässer - Name (2);Genutzte Gewässer - Name (3);Genutzte Gewässer - Name (4);Genutzte Gewässer - Name (5);Genutzte Gewässer - Name (6);Genutzte Gewässer - Name (7);"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""";Genutzte Gewässer - Name (8);Genutzte Gewässer - Name (9);Genutzte Gewässer - Name (10);Genutzte Gewässer - Name (11);Genutzte Gewässer - Name (12);Ersatzenergie: Richtung (1);Ersatzenergie: Partner (1);Ersatzenergie: Richtung (2);Ersatzenergie: Partner (2);Ersatzenergie: Richtung (3);Ersatzenergie: Partner (3);Ersatzenergie: Richtung (4);Ersatzenergie: Partner (4);Ersatzenergie: Richtung (5);Ersatzenergie: Partner (5);Ersatzenergie :Richtung (6);Ersatzenergie: Partner (6);Ersatzenergie: Richtung (7);Ersatzenergie: Partner (7);Ersatzenergie: Richtung (8);Ersatzenergie: Partner (8);Ersatzenergie: Richtung (9);Ersatzenergie: Partner (9);Ersatzenergie: Richtung (10);Ersatzenergie: Partner (10);Ersatzenergie: Richtung (11);Ersatzenergie: Partner (11);Ersatzenergie: Richtung (12);Ersatzenergie: Partner (12);Rechte - Name (1);Rechte - Endjahr (1);Rechte - Name (2);Rechte - Endjahr (2);Rechte - Name (3);Rechte - Endjahr (3);Rechte - Name (4);Rechte - Endjahr (4);Rechte - Name (5);Rechte - Endjahr (5);Rechte - Name (6);Rechte - Endjahr (6);Rechte - Name (7);Rechte - Endjahr (7);Rechte - Name (8);Rechte - Endjahr (8);Rechte - Name (9);Rechte - Endjahr (9);Rechte - Name (10);Rechte - Endjahr (10);Bemerkung (1);Bemerkung (2);Bemerkung (3);Bemerkung (4);Bemerkung (5);Bemerkung (6);Bemerkung (7);Bemerkung (8);Bemerkung (9);Bemerkung (10);ZE-Koordinaten unscharf (Ost);ZE-Koordinaten unscharf (Nord);Internationales KW
100625;St. Joseph, Obersaxen;Kraftwerk Tschar;L;Obersaxen, St. Joseph;Graubünden;im Normalbetrieb;T;;1,2;4,26;4,26;4,26;4,26;2,4;10,1;12,5;12,5;0;0;0;0;0;0;2017;;1203,3;100;Graubünden;100;;;;;Tscharbach;;;;;;;4,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2724790;1178750;
100700;Mutteins;Brigels-Tavanasa;L;Tavanasa;Graubünden;im Normalbetrieb;T;;3;12,5;12,5;12;12;12,9;41,4;54,3;54,3;0;0;0;0;0;0;1960;1960;776;100;Graubünden;100;;;;;Dardinerbach;Flem;;;;;;12;;;;;;A;Repower AG (Zentrale Waltensburg);;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2040;;;;;;;;;;;;;;;;;;;"- Ersatzenergie:	Abgabe an Repower AG als Realersatz für das stillgelegte Kraftwerk Waltensburg  ";                                   ;;;;;;;;;2724760;1179840;
100800;Ladral;Ladral;L;Waltensburg;Graubünden;im Normalbetrieb;T;;0,9;5,1;5,1;5,6;5,6;3,47;12,06;15,53;15,53;0;0;0;0;0;0;1973;1973;744;100;Graubünden;100;;;;;Ual de Ladral;;;;;;;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2728320;1181400;
100900;Ilanz 1;Ilanz 1 (Stufe Tavanasa);L;Ilanz;Graubünden;im Normalbetrieb;T;;50;34,5;34,5;33,8;33,8;50,5;86,7;137,2;137,2;0;0;0;0;0;0;1990;1990;702;100;Graubünden;100;;;;;Vorderrhein;;;;;;;33,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2071;;;;;;;;;;;;;;;;;;;- Zentralen Ilanz 1 und Ilanz 2 in einem Gebäude              ;;;;;;;;;;2734150;1181900;
101000;Ilanz 2;Ilanz 2 (Stufe Panix (Pigniu));S;Ilanz;Graubünden;im Normalbetrieb;T;;8;49,5;49,5;48,5;48,5;23,2;116,4;139,6;139,6;0;0;0;0;0;0;1992;1992;702;100;Graubünden;100;;;;;Ranasca Nord und Süd;Speicher Panix (Pigniu);Ual da Schmuer;Ual da Siat;;;;48,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2071;;;;;;;;;;;;;;;;;;;- Zentralen Ilanz 1 und Ilanz 2 in einem Gebäude              ;;;;;;;;;;2734150;1181900;
101100;Seekraftwerk Zervreila;Seekraftwerk Zervreila;S;Vals, Staumauer Zervreila;Graubünden;im Normalbetrieb;T;P;20;22;22;20;20;18,1;7,6;25,7;25,7;7;5,8;7;0;4,4;4,4;1958;1999;1735;100;Graubünden;100;;;;;Ampervreila;Fruntbach;Guraletsch;Peilerbach;Stausee Zervreila;Valser Rhein;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2037;;;;;;;;;;;;;;;;;;;- Ampervreila und Peilerbach werden nur im Sommer genutzt (Zubringer-Pumpbetrieb)       ;                                         ;;;;;;;;;2728820;1160010;
101200;Safien Platz;Safien Platz;S;Safien Platz;Graubünden;im Normalbetrieb;T;;23;90;90;88;88;93,7;68,6;162,3;162,3;0;0;0;0;0;0;1957;1997;1296,5;100;Graubünden;100;;;;;Ampervreila;Peilerbach;Rabiusa;Valatschbach;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2743620;1171340;
101300;Rothenbrunnen (KWZ);Rothenbrunnen;S;Rothenbrunnen;Graubünden;im Normalbetrieb;T;;21,9;135;135;127;127;159,5;171,2;330,7;330,7;0;0;0;0;0;0;1958;2011;622,4;100;Graubünden;100;;;;;Carnusa;Rabiusa;;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2751200;1181320;
101400;Realta;Rabiusa-Realta;L;Rothenbrunnen;Graubünden;im Normalbetrieb;T;;6;26;26;26;26;13,9;24,9;38,8;38,8;0;0;0;0;0;0;1949;2004;622;100;Graubünden;100;;;;;Rabiusa;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2751180;1181210;
101450;Lunschania;Lunschania;L;St. Martin, Lunschania;Graubünden;im Normalbetrieb;T;;0,4;0,94;0,94;0,94;0,94;0,46;1,55;2,01;2,01;0;0;0;0;0;0;1996;1996;1042,67;100;Graubünden;100;;;;;Ronggtobelbach;;;;;;;0,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2733900;1169150;
101500;Bargaus;Bargaus;L;Sagogn;Graubünden;im Normalbetrieb;T;;0,96;2,82;2,82;2,75;2,75;4,5;9,2;13,7;13,7;0;0;0;0;0;0;1963;1963;666,31;100;Graubünden;100;;;;;Bulignabach;Laaxerbach;;;;;;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2740090;1184080;
101550;Punt Gronda (Segnas);Punt Gronda (Segnas);L;Flims;Graubünden;im Normalbetrieb;T;;0,4;2,62;2,62;3,3;3,3;2,65;8,42;11,07;11,07;0;0;0;0;0;0;2012;2012;1300,6;100;Graubünden;100;;;;;Flembach;;;;;;;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2072;;;;;;;;;;;;;;;;;;;- Zentralen Punt Gronda (Segnas), Punt Gronda (Platt Alva) und Punt Gronda (Tarschlims) in einem Gebäude;;;;;;;;;;2739320;1189100;
101560;Punt Gronda (Platt Alva);Punt Gronda (Platt Alva);L;Flims;Graubünden;im Normalbetrieb;T;;0,3;0,64;0,64;0,8;0,8;0;1,42;1,42;1,42;0;0;0;0;0;0;2012;;1300,6;100;Graubünden;100;;;;;Platt Alva Bach;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2072;;;;;;;;;;;;;;;;;;;- Zentrale Punt Gronda (Platt Alva), Punt Gronda (Segnas) und Punt Gronda (Tarschlims) in einem Gebäude; ;;;;;;;;;2739320;1189100;
101570;Punt Gronda (Tarschlims);Punt Gronda (Tarschlims);L;Flims;Graubünden;im Normalbetrieb;T;;0,14;0,3;0,3;0,38;0,38;0,8;1,1;1,9;1,9;0;0;0;0;0;0;2013;;1300,6;100;Graubünden;100;;;;;Quellen Tarschlims;;;;;;;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);9999;;;;;;;;;;;;;;;;;;;- Zentrale Punt Gronda (Tarschlims), Punt Gronda (Platt Alva) und  Punt Gronda (Segnas) in einem Gebäude;#NAME?;;;;;;;;;2739320;1189100;
101600;Stenna (Flims);Stenna (Flims) Flembach;L;Flims;Graubünden;im Normalbetrieb;T;;0,85;1,73;1,73;1,66;1,66;1,8;5,9;7,7;7,7;0;0;0;0;0;0;1904;1999;1056,08;100;Graubünden;100;;;;;Flembach;;;;;;;1,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2740690;1188610;
101650;Flims, Felsbach (Karstwasser);Flims, Felsbach (Karstwasser);L;Flims;Graubünden;im Normalbetrieb;T;;0,5;0,88;0,88;0,85;0,85;1,4;2,79;4,19;4,19;0;0;0;0;0;0;2011;2011;851,07;100;Graubünden;100;;;;;Karstquelle Tunnel Flims;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2071;;;;;;;;;;;;;;;;;;;"- Zentrale Flims, Felsbach (Karstwasser) und Zentrale Flims, Felsbach (Bergwasser) sind in einem Gebäude Felsbach			";"  			"; ;"			"; ;;;;;;2743340;1188710;
101660;Flims, Felsbach (Bergwasser);Flims, Felsbach (Bergwasser);L;Flims;Graubünden;im Normalbetrieb;T;;0,3;0,28;0,28;0,27;0,27;0,49;1,01;1,5;1,5;0;0;0;0;0;0;2011;;851,07;100;Graubünden;100;;;;;Bergwasser Tunnel Flims;;;;;;;0,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2071;;;;;;;;;;;;;;;;;;;"- Zentrale Flims, Felsbach (Bergwasser) und Zentrale Flims, Felsbach (Karstwasser) sind in einem Gebäude Felsbach		";;;;;;;;;;2743340;1188710;
101700;Mulin;Mulin;L;Trin Mulin;Graubünden;im Normalbetrieb;T;;1,4;1,6;1,6;1,5;1,5;1,25;4,55;5,8;5,8;0;0;0;0;0;0;1907;2004;797;100;Graubünden;100;;;;;Quelle bei Mulin;Val Turnigla;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Verfügungsrecht;9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2745060;1188680;
101800;Pintrun;Pintrun;L;Trin;Graubünden;im Normalbetrieb;T;;5;6,48;6,48;6,2;6,2;7,6;23,2;30,8;30,8;0;0;0;0;0;0;1944;1944;613,8;100;Graubünden;100;;;;;Flembach;;;;;;;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2745770;1186630;
101900;Ferrera 1;Ferrera 1;U;Ausserferrera;Graubünden;im Normalbetrieb;T;P;45;180;126;180;126;210;94;304;212,8;16;90;90;27;71;98;1962;2017;1399,8;70;Graubünden;70;;;;;Am Bach;Averserrhein;Blesbach;Juppabach;Lago di Lei;Madriserrhein;Maleggabach;126;Niemetbach;Parebach;Pisciabach;Reno di Lei;Stausee Sufers;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2042;;;;;;;;;;;;;;;;;;;- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ;;;;;;;;;;2753080;1155460;Ja
102000;Ferrera 2;Ferrera 2;L;Ausserferrera;Graubünden;im Normalbetrieb;T;;8;4,4;4,4;4,4;4,4;0,5;2;2,5;2,5;0;0;0;0;0;0;1963;2017;1395,6;100;Graubünden;100;;;;;Averserrhein;Ferrera (Ausgleichsbecken);;;;;;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2042;;;;;;;;;;;;;;;;;;;- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ;;;;;;;;;;2753080;1155460;
102050;Nufenen;Nufenen;L;Nufenen;Graubünden;im Normalbetrieb;T;;0,12;0,3;0,3;0,3;0,3;0,36;0,97;1,33;1,33;0;0;0;0;0;0;2009;;1622;100;Graubünden;100;;;;;Dorfbach;Hoflibach;Prascherbach;Seewelibach;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Verfügungsrecht;2069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2738770;1156240;
102070;Splügen (Tambobach);Splügen (Tambobach);L;Splügen;Graubünden;im Normalbetrieb;T;;0,53;1,8;1,8;1,8;1,8;1,5;5,7;7,2;7,2;0;0;0;0;0;0;2012;;1469,95;100;Graubünden;100;;;;;Tambobach;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2743500;1156670;
102080;Sufers-Dotieranlage;Stauanlage Sufers Dotieranlage;L;Sufers;Graubünden;im Normalbetrieb;T;;1,7;0,71;0,71;0,71;0,71;0,45;1,05;1,5;1,5;0;0;0;0;0;0;1990;2010;1360;100;Graubünden;100;;;;;Hinterrhein;Sufnersee;;;;;;0,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Andere Rechtsgrundlage;9999;;;;;;;;;;;;;;;;;;;- Dotieranlage wurde 1989 erbaut;- Erneuerung der Dotieranlage im Rahmen der Gesamterneuerung der KWH (2010 - 2017);;;;;;;;;2748800;1159200;
102100;Bärenburg;Bärenburg;S;Andeer;Graubünden;im Normalbetrieb;T;;80;220;220;220;220;188;300;488;488;0;0;0;0;0;0;1962;2017;1065;100;Graubünden;100;;;;;Averserrhein;Fundognbach;Hinterrhein;Stausee Sufers;Surettabach;Valtschielbach;;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2751940;1161800;
102200;Bärenburg-Dotierzentrale;Bärenburg Dotieranlage;L;Andeer;Graubünden;im Normalbetrieb;T;;3,8;1,6;1,6;1,6;1,6;0,9;1,9;2,8;2,8;0;0;0;0;0;0;1968;2017;1031,31;100;Graubünden;100;;;;;Averserrhein;Fundognbach;Hinterrhein;Stausee Sufers;Surettabach;Valtschielbach;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2751940;1161800;
102300;Sils (KHR);Sils;S;Sils, Nisellas;Graubünden;im Normalbetrieb;T;;73;247;247;247;247;246;414;660;660;0;0;0;0;0;0;1961;1961;672,5;100;Graubünden;100;;;;;Hinterrhein;Pigniabach;Reischenbach;;;;;247;;;;;;A;EWZ (Zentrale Rothenbrunnen EWZ);;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2755080;1174440;
102400;Thusis;Thusis;L;Thusis;Graubünden;im Normalbetrieb;T;;6;4,6;4,6;4,6;4,6;4,5;11,2;15,7;15,7;0;0;0;0;0;0;1968;2017;687,7;100;Graubünden;100;;;;;Hinterrhein;;;;;;;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2753300;1172950;
102500;Preda;Preda-Bergün;L;Preda bei Bergün;Graubünden;im Umbau;T;;0,85;0,9;0,9;0,6;0,6;1,44;2,16;3,6;3,6;0;0;0;0;0;0;1903;1976;1792;100;Graubünden;100;;;;;Albula;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Verfügungsrecht;9999;;;;;;;;;;;;;;;;;;;#NAME?;  Nach dem Ersatz Neubau sind folgende Werte zu erwarten:;"  Ausbauwassermenge (an 60 Tagen erreicht)		=   0.87 m3/s";"  Installierte Leistung sämtlicher Turbinen		=   1.27 MW";"  Maximal mögliche Leistung ab Generatoren		=   1.40 MW";"  Mittlere Produktionserwartung im Sommerhalbjahr	=   2.64 GWh";"  Mittlere Produktionserwartung im Winterhalbjahr		=   1.39 GWh";"  Mittlere Produktionserwartung im Jahr			=   4.03 GWh";"  Koordinaten der Zentrale				=   2'779'230 / 1'162'298";"  Kote Maschinensaalboden				=   1789.50";2779300;1162250;
102600;Frauenkirch;Frauenkirch;L;Davos, Frauenkirch;Graubünden;im Normalbetrieb;T;;0,8;0,7;0,7;0,7;0,7;1,73;2,59;4,32;4,32;0;0;0;0;0;0;1894;1963;1519,52;100;Graubünden;100;;;;;Sertigbach;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2780770;1182470;
102700;Glaris;Glaris;L;Davos, Glaris;Graubünden;im Normalbetrieb;T;;2,1;1,13;1,13;0,96;0,96;3,49;3,87;7,36;7,36;0;0;0;0;0;0;1899;1964;1420,62;100;Graubünden;100;;;;;Landwasser;;;;;;;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2778610;1178760;
102800;Filisur;Filisur;L;Filisur;Graubünden;im Normalbetrieb;T;;16;65;65;64;64;84,1;205,7;289,8;289,8;0;0;0;0;0;0;1967;2002;998;100;Graubünden;100;;;;;Albula;Ava da Stugl;Ava da Tisch;Ava da Tuors;Landwasser;Monsteinerbach;;64;;;;;;B;RE (Zentrale Klosters);;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2772200;1171210;
102900;Tiefencastel (ALK);Filisur-Tiefencastel;L;Tiefencastel;Graubünden;im Normalbetrieb;T;;18;24;24;23;23;31,1;73,3;104,4;104,4;0;0;0;0;0;0;1989;1989;850,9;100;Graubünden;100;;;;;Albula;Landwasser;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2763840;1169970;
103000;Stalvedro (Julia);Stalvedro (Julia);L;Bivio;Graubünden;im Normalbetrieb;T;;1,5;0,65;0,65;0,6;0,6;0,8;2,5;3,3;3,3;0;0;0;0;0;0;1936;1980;1713,67;100;Graubünden;100;;;;;Julia;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2769430;1149970;
103050;Mulegn, Tinizong-Rona;Mulegn, Tinizong-Rona;L;Tinizong-Rona;Graubünden;im Normalbetrieb;T;;1,8;7;7;7;7;2,6;17,4;20;20;0;0;0;0;0;0;2016;;1227,2;100;Graubünden;100;;;;;Ragn d'Err;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Konzession(en);2076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2767350;1160740;
