name,eic_code,lat,lon
NAPOLI L,26WIMPI-S15NLPLI,40.83397,14.30076
PRESENZANO,26WIMPI-S15PRSN8,41.380906,14.09146
SPARANISE ,26WIMPI-S15SCPRH,41.17767,14.11289
POMIGLIANO D'ARCO,26WIMPI-S15SGTL1,40.93194,14.38492
CENTRALE DI TEVEROLA ,26WIMPI-S15STTV3,41.00915,14.2286
BRINDISI NORD,26WIMPI-S16BNRNH,40.64398,17.98039
BRINDISI SUD CE,26WIMPI-S16BSCRY,40.56248,18.03191
SORGENIA PUGLIA CENTRALE DI MODUGNO,26WIMPI-S16CDMNU,41.10268,16.75567
CANDELA,26WIMPI-S16CNDLL,41.20185,15.47613
RATINO,26WIMPI-S16CSSCB,41.62667,15.42375
ENIPOWER BRINDISI,26WIMPI-S16EBNPL,40.643978,17.980304
IGES,26WIMPI-S16IGET0,40.957675,17.266559
ALTOMONTE,26WIMPI-S18EADS0,39.711908,16.215591
MUCONE 1S,26WIMPI-S18M1CN9,39.476646,16.290828
RIZZICONI,26WIMPI-S18RCZZW,38.444838,15.989969
ROSSANO TE,26WIMPI-S18RTSN9,39.621832,16.607702
SIMERI CRICHI,26WIMPI-S18SCMR8,38.875447,16.656397
CENTRALE DI SCANDALE,26WIMPI-S18SCNDX,39.102319,17.032491
AUGUSTA C.LE,26WIMPI-S19ACGSY,37.208703,15.176906
RAFFINERIA DI GELA SPA,,37.057979,14.267741
ANAPO C.LE,26WIMYI-S19ANPAB,37.115761,15.137157
CTE NUCE NORD,26WIMPI-S19APGPP,37.179493,15.196323
ISAB ENERGY,26WIMPI-S19IESBL,37.122093,15.219585
PRIOLO C.LE,26WIMPI-S19PCRLE,37.13158,15.201043
PORTO EMPEDOCLE C.LE,26WIMPI-S19PERTR,37.287309,13.521969
SAN FILIPPO DEL MELA ,26WIMPI-S19SDMCS,38.203761,15.285385
TERMINI IMERESE C.LE,26WIMPI-S19TCRMT,37.968628,13.751201
TRAPANI C.LE,26WIMPI-S19TCRPN,37.876736,12.589223
MILAZZO,26WIMPI-S19TMRC9,38.197792,15.267587
ASSEMINI,26WIMPI-S20ASSMU,39.227232,8.996946
FIUMESANTO,26WIMPI-S20FOMSR,40.846295,8.306735
PORTO SCUSO,26WIMPI-S20PSRTI,39.196025,8.40047
SULCIS CENTR,26WIMPI-S20SCLC8,39.195549,8.405091
SARLUX,26WIMPI-S20SRLXH,39.103312,9.006326
TALORO1,26WIMPI-T20TLRAJ,40.127148,9.140644
VENINA,26WIMPITOADDA-1T,,
ISOLATO SPLUGA,26WIMPII-LIRO-1L,46.443064,9.334613
GALLETO,26WIMPIVELINO-1Q,,
TAIO,26WIMPII-NOCE-1C,46.326132,11.063244
TIMPAGRANDE,26WIMPIORTICA-13,39.17553,16.780345
GROSIO,26WIMPIGROSIO-11,,
S.MASSENZA 1 (Molveno),26WIMPIASS-CL-1D,46.067653,10.983605
SOMPLAGO,26WIMPIAMENTO-1T,46.343237,13.067161
CEDEGOLO,26WIMPIMONICA-1D,46.243788,10.457249
