name,eic_code,lat,lon
Glendoe,48WSTN0000GLNDOL,57.093,-4.556
Glenmoriston,,57.201652,-4.720786
Invergarry,,57.072271,-4.773157
Invergarry Dam,,57.07726,-4.845555
Kingairloch,,56.632902,-5.571777
Livishie,,57.204607,-4.727847
Mucomir,,56.910344,-4.984838
Quoich,,57.06299,-5.123315
Quoich Dam,,57.061939,-5.11992
Cassley,48WSTN00000CASSD,58.168903,-4.727687
Lairg,,58.028772,-4.413805
Shin,48WSTN00000SHINJ,57.943456,-4.411449
Shin Diversion Dam,,58.01222,-4.402339
Allt na Lairige,,56.290479,-4.897778
Awe Barrage,,56.410179,-5.168967
Clachan,48WSTN00000CLACI,56.27739,-4.921665
Inverawe,48WSTN00000INAWE,56.439758,-5.217784
Kilmelfort,,56.273185,-5.48925
Loch Gair,,56.065326,-5.335656
Lussa,,55.476427,-5.584277
Nant,48WSTN00000NANT8,56.338056,-5.211173
Sloy,48WSTN00000SLOY0,56.261512,-4.763588
Sron Mor,,56.337014,-4.975787
Striven,,56.009446,-5.119467
Clunie,,56.716814,-3.777832
Clunie Dam,,56.716814,-3.777832
Cuaich,,56.958146,-4.155829
Errochty,48WSTN00000ERROK,56.708896,-4.006863
Gaur,,56.678376,-4.508843
Loch Ericht,,56.823662,-4.371775
Pitlochry,,56.699293,-3.739996
Pitlochry Dam,,56.699293,-3.739996
Rannoch,48WSTN00000RANN0,56.692995,-4.401621
Tummel,48WSTN00000TUMBB,56.706326,-4.021017
Arnish,,,
Barra,,57.733565,-4.780882
Bowmore,,55.760587,-6.27336
Kirkwall,,58.982347,-2.964408
Lerwick,,60.167184,-1.164261
"Loch Carnan, South Uist",,57.364812,-7.27048
Stornoway,,58.203151,-6.372753
Tiree,,56.49764,-6.882377
Beannachran Dam,,57.413843,-4.789349
Chliostair,,57.981161,-6.959031
Cladach Dam,,55.603612,-5.162045
Cluanie Dam,,57.143819,-5.002231
Duchally,,58.141289,-4.773841
Dundreggan Dam A,,57.20235,-4.720629
Gisla,,58.122669,-6.934258
Kerry Falls,,57.684857,-5.642699
Loyne,,57.12737,-4.974903
Meig Dam,,57.565006,-4.717085
Misgeach Power Station,,57.396707,-5.02541
Morar Power Station,,56.963629,-5.812743
Nostie Bridge,,57.285287,-5.565797
Storr Lochs,,57.496779,-6.145792
Stronuich Power Station,,56.546221,-4.429258
Tobermory Power Station,,56.620702,-6.070343
Tralaig Power Station,,56.296712,-5.442751
Trinafour Power Station,,56.756646,-4.087408
Vaich Power Station,,57.733565,-4.780882
Slough *,,51.524006,-0.626368
Keadby,48WSTN00000KEAD4,53.594692,-0.749312
Medway,48WSTN00000MEDPZ,51.439787,0.69099
Peterhead,48WSTN00000PEHEU,57.477712,-1.789326
Fiddler’s Ferry,48WSTN00000FIDLP,53.372319,-2.68695
Chippenham,,,
Burghfield,,51.429365,-1.003304
Chickerell,,50.623281,-2.487789
Fiddler’s Ferry GT,48WSTN000FIDL-GA,53.372319,-2.68695
Keadby GT,48WSTN000KEADGT6,53.594692,-0.749312
Five Oaks,,51.050115,-0.422073
Thatcham,,51.394535,-1.242002
Cruachan,48WSTN00000CRUAC,56.394104,-5.114319
Carsfad,,55.143482,-4.189764
Drumjohn,,55.248107,-4.327364
Earlstoun,,55.112094,-4.174467
Glenlee,,55.099977,-4.186353
Kendoon,,55.164438,-4.191086
Tongland,,54.860111,-4.034615
Bonnington,,55.655526,-3.774459
Stonebyres,,55.677412,-3.830617
Blackburn,,53.419126,-1.404453
Damhead Creek,48WSTN00000DAMCL,51.425215,0.601233
Rye House,48WSTN0000RYHPSI,51.76169,0.009018
Shoreham,48WSTN00000SHOSS,50.829527,-0.230816
Pilkington - Greengate *,,53.442988,-2.739958
Seabank 1,48WSTN00000SEAB5,51.539182,-2.669878
Seabank 2,48WSTN00000SEAB5,51.539182,-2.669878
Wilton 10,,54.587214,-1.100863
Wilton GT1 *,,54.587214,-1.100863
Wilton GT2,,54.587214,-1.100863
SELCHP ERF,,51.485218,-0.046364
Rheidol,,52.396476,-3.899553
Knapton,,54.181097,-0.641951
Connahs Quay,48WSTN0000CNQPSG,53.231501,-3.081939
Cottam Development Centre,48WSTN00000CDCLQ,53.303711,-0.778882
Enfield,48WSTN00000EECLC,51.662651,-0.02235
Grain CHP *,48WSTN0000GRAINU,51.445227,0.715005
Killingholme,48WSTN000KILLPG5,53.659282,-0.255219
Ratcliffe,48WSTN00000RATS9,52.865241,-1.254127
Grain GT,48WSTN000GRAI-GD,51.445227,0.715005
Ratcliffe GT,48WSTN000RATSGTB,52.865241,-1.254127
Taylor's Lane GT,48WSTN000TAYL-G3,51.546086,-0.257309
VPI Immingham *,48WSTN00000HUMR2,53.638708,-0.234093
