id;efficiency_net;efficiency_gross;efficiency_comment;date;efficiency_source;source_type
BNA0152b;;;;;;
BNA0153;;;;;;
BNA0154;;;;;;
BNA0155;;;;;;
BNA0156a;;;;;;
BNA0156b;;;;03.11.2015;;
BNA0157;;;;02.11.2015;;
BNA0158;;;;;;
BNA0159;;;;;;
BNA0161;;;Nuklear? Offline;28.10.2015;http://kraftwerke.vattenfall.de/brunsbuttel;A
BNA0162;;;Nuklear? Offline;28.10.2015;http://kraftwerke.vattenfall.de/brunsbuttel;A
BNA0163;;;Nuklear? Offline;28.10.2015;http://kraftwerke.vattenfall.de/brunsbuttel;A
BNA0164;;;Nuklear? Offline;28.10.2015;http://kraftwerke.vattenfall.de/brunsbuttel;A
BNA0165;;;;;;
BNA0166;;;;;;
BNA0167;;;;;;
BNA0168;;;;;;
BNA0169;;;;;;
BNA0170;;;;;;
BNA0171;;;;;;
BNA0172;;;;23.11.2015;;
BNA0173;;;;;;
BNA0174;;;;11.11.2015;;
BNA0175;;;;;;
BNA0176;;;;;;
BNA0177;;;;;;
BNA0178;;;;;;
BNA0179;;;;;;
BNA0180;;;;;;
BNA0181;;;;;;
BNA0182;;;;;;
BNA0183;0.4;;;05.01.2016;https://books.google.de/books?id=3gjxbjLZUIcC&pg=PA44&lpg=PA44&dq=Grevenbroich-Frimmersdorf+wirkungsgrad&source=bl&ots=Ov4NMifXMN&sig=9UFMsjWijfvUpdU2_A-dtbyh_tw&hl=de&sa=X&ved=0ahUKEwiki-rIupLKAhXFfw8KHe3cDRwQ6AEIQzAH#v=onepage&q=Grevenbroich-Frimmersdorf%20wirkungsgrad&f=false;B
BNA0184;;;;;;
BNA0185;;;;;;
BNA0186;;;;;;
BNA0190;;;;;;
BNA0191;;;;;;
BNA0192;;;;;;
BNA0193;;;;;;
BNA0194;;;;;;
BNA0195;;;;;;
BNA0196;;;;17.11.2015;;
BNA0197;;;;;;
BNA0198;;;;;;
BNA0199;;;;;;
BNA0200;;;;;;
BNA0201a;;;;;;
BNA0201b;;;;;;
BNA0202;;;;17.11.2015;;
BNA0204;;;;;;
BNA0205;;;;;;
BNA0207;;;;;;
BNA0208;;;;;;
BNA0209;;;;;;
BNA0210;;;;;;
BNA0211;;;;;;
BNA0213;;;;;;
BNA0214;;;;;;
BNA0216a;;;;23.11.2015;;
BNA0216b;0.45;;;09.11.2015;http://www.energystate.de/detail.php?lang=de&kat=project&id=183;B
BNA0217;;;;23.11.2015;;
BNA0218;;;;23.11.2015;;
BNA0219;;;;23.11.2015;;
BNA0220;0.54;;unsicher ob dieser Block gemeint ist;20.11.2015;https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/;A
BNA0221a;;0.68;angabe ungenau;20.11.2015;https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/;A
BNA0221b;;0.68;angabe ungenau;20.11.2015;https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/;A
BNA0221c;;0.68;angabe ungenau;20.11.2015;https://www.swd-ag.de/ueber-uns/erzeugung/erzeugungslandschaften/heizkraftwerke/;A
BNA0222;;;;20.11.2015;;
BNA0223a;;;;;;
BNA0223b;;;;;;
BNA0224;;;;;;
BNA0225;;;;;;
BNA0226;;;;;;
BNA0227;;;;;;
BNA0228;;;;;;
BNA0229;;;;;;
BNA0230;;;;;;
BNA0232a;;;;;;
BNA0232b;;;;;;
BNA0232c;;0.9;Brutto: KWK;28.10.2015;"http://www.swp.de/ehingen/lokales/ehingen/Print-Stromrabatt-Kilowattstunde-Schotterwerk-Gigawatt-Biogas-Stromverbrauch-EEG-Beihilfe-Unternehmen-in-der-Region-sind-auf-Stromrabatt-angewiesen;art4295,2485280";A
BNA0233;;;;;;
BNA0235;;;;;;
BNA0236;;;;;;
BNA0237;;;;;;
BNA0238a;;;;;;
BNA0238b;;;;;;
BNA0239;0.42;;S. 4;02.11.2015;https://www.vde.com/de/fg/ETG/Archiv/Arbeitsgebiete/Erzeugung/Seiten/Druckluftspeicher-Kraftwerke.aspx;A
BNA0240;;;;;;
BNA0241;;;;;;
BNA0242;;;;;;
BNA0243;;;;17.11.2015;;
BNA0244;;;;;;
BNA0245a;0.42;;;23.11.2015;http://www.energie-chronik.de/120212.htm;B
BNA0245b;0.42;;;23.11.2015;http://www.energie-chronik.de/120212.htm;B
BNA0246a;;;;;;
BNA0246b;;;;;;
BNA0247;;;;;;
BNA0248;;;;;;
BNA0249;;;;;;
BNA0250a;;;;;;
BNA0250b;;;;;;
BNA0251;0.346;;"Unter ""Informationen zum Kernkraftwerk"" zu finden";02.11.2015;http://www.eon.com/content/eon-com/de/about-us/structure/asset-finder/grohnde.html;A
BNA0252;;;;;;
BNA0253;0.36;;;23.11.2015;http://www.spd-saar.de/uploads/media/konzept_bergbau.pdf;A
BNA0254;;;;;;
BNA0255;;;;23.11.2015;;
BNA0256a;0.364;0.9;Brutto: KWK Wirkungsgrad;23.11.2015;https://www.umweltbundesamt.de/sites/default/files/medien/378/publikationen/climate_change_02_2014_kwk-ausbau_entwicklung_prognose_wirksamkeit_der_anreize_im_kwk-gesetz_0.pdf;A
BNA0256b;0.364;;;01.12.2015;http://stefanschroeter.com/539-neue-gasturbine-fuer-das-heizkraftwerk-erfurt-ost.html;B
BNA0257;;;;;;
BNA0258;;;;;;
BNA0259;;;;;;
BNA0260;;;;;;
BNA0261a;;;;23.11.2015;;
BNA0261b;;;;;;
BNA0261c;;;;03.11.2015;;
BNA0262;;;;;;
BNA0263;;;nichts passendes gefunden;02.11.2015;;
BNA0265;;;;;;
BNA0266a;;;;;;
BNA0266b;;;;;;
BNA0266c;;;;;;
BNA0267a;;;;;;
BNA0267b;;;;;;
BNA0268;;;;17.11.2015;;
BNA0270;;;;;;
BNA0271;;;;;;
BNA0272;;;;;;
BNA0273;;;;20.11.2015;;
BNA0274;;;;20.11.2015;;
BNA0276;;;;;;
BNA0277;;;;;;
BNA0278;;;;;;
BNA0279;;;;;;
BNA0280;;;;;;
BNA0281;;;;;;
BNA0282;;;;;;
BNA0283;;;;;;
