"Manufacturer name";"Generating unit name";"Generating unit code";"Available capacity [MW]";"Voltage [kv]";"Basic fuel";"Comments"
" PGE Energia Ciepła S.A.";"Rybnik";"";"1800";"";"Black coal";""
"";"Rybnik B1";"RYB 1-01";"225";"110";"";""
"";"Rybnik B2";"RYB 1-02";"225";"110";"";""
"";"Rybnik B3";"RYB 1-03";"225";"110";"";""
"";"Rybnik B4";"RYB 2-04";"225";"220";"";""
"";"Rybnik B5";"RYB 2-05";"225";"220";"";""
"";"Rybnik B6";"RYB 2-06";"225";"220";"";""
"";"Rybnik B7";"RYB 4-07";"225";"400";"";""
"";"Rybnik B8";"RYB 4-08";"225";"400";"";""
"TAURON Wytwarzanie S.A.";"Siersza";"";"557";"";"Black coal";""
"";"Siersza B1";"SIA 1-01";"153";"110";"";""
"";"Siersza B2";"SIA 1-02";"153";"110";"";""
"";"Siersza B3";"SIA 1-03";"123";"110";"";""
"";"Siersza B6";"SIA 1-06";"128";"110";"";""
"	PGE Energia Odnawialna S.A.";"Solina";"";"198";"";"Water";""
"";"Solina H1";"SOL 1-01";"68";"110";"";""
"";"Solina H2";"SOL 1-02";"68";"110";"";""
"";"Solina H3";"SOL 1-03";"31";"110";"";""
"";"Solina H4";"SOL 1-04";"31";"110";"";""
"TAURON Wytwarzanie S.A.";"Stalowa Wola 3";"";"250";"";"Black coal";""
"";"Stalowa Wola 3 B7";"STW31-07";"125";"110";"";""
"";"Stalowa Wola 3 B8";"STW31-08";"125";"110";"";""
"	PGE Górnictwo i Energetyka Konwencjonalna S.A.";"Turów";"";"1488";"";"Brown coal";""
"";"Turów B01";"TUR 1-01";"235";"110";"";""
"";"Turów B02";"TUR 2-02";"235";"220";"";""
"";"Turów B03";"TUR 2-03";"235";"220";"";""
"";"Turów B04";"TUR 2-04";"261";"220";"";""
"";"Turów B05";"TUR 2-05";"261";"220";"";""
"";"Turów B06";"TUR 2-06";"261";"220";"";""
"PGE Energia Odnawialna S.A.";"Żarnowiec";"";"716";"";"Water";""
"";"Żarnowiec H1";"ZRN 4-01";"179";"400";"";""
"";"Żarnowiec H2";"ZRN 4-02";"179";"400";"";""
"";"Żarnowiec H3";"ZRN 4-03";"179";"400";"";""
"";"Żarnowiec H4";"ZRN 4-04";"179";"400";"";""
"ENERGA Wytwarzanie S.A.";"Żydowo";"";"167";"";"Water";""
"";"Żydowo H1";"ZYD 1-01";"55";"110";"";""
"";"Żydowo H2";"ZYD 1-02";"55";"110";"";""
"";"Żydowo H3";"ZYD 1-03";"57";"110";"";""
